name,maxstreak,startcomp,endcomp,days
Simone Cantarelli,43,SchioOpen2012,MilanSaturday2018,2204
Matteo Dummar,43,SunmarkeDubaiOpenII2017,ongoing,1709
Marco Rota,38,ObeiObeiOpen2009,MantuaTinyOpen2016,2252
Mariano D'Imperio,33,FrenchOpen2009,RomeSlamOpen2016,2556
Marco Belotti,31,HalloweenOpen2010,ongoing,4256
Luca Brasini,31,FioranoOpen2017,ongoing,1925
Claudio Bentivoglio,29,LegnanoOpen2014,ongoing,2955
Carolina Guidetti,29,AlmostRomeOpen2017,OneLookinginCavarzere2022,1840
Mattia Furlan,28,LjubljanaOpen2013,ongoing,3193
Vittorio Maria Perucatti,27,MonterotondoOpen2015,PaladiamanteOpen2022,2289
Marco Minici,26,TrentinOpen2011,ongoing,3879
Vincenzo Maria Gammino,24,SmallCubingitaly2016,BolognaNewYear2022,2086
Fabrizio Cirnigliaro,23,ItalianOpen2008,WC2011,1210
Riccardo Simone,22,ItalianOpen2008,LegnanoOpen2012,1408
Michael Volpe Mayerle,22,HalloweenOpen2010,MilanBlindDay2013,1042
Alessandro Nicolì,22,BeneventumOpen2012,PoliMiOp3n2018,2127
Roberto Bentivoglio,21,MonticelloConteOtto2014,ongoing,3011
Matteo Colombo,21,ObeiObeiOpen2009,MonticelloConteOtto2014,1573
Lorenzo Vigani Poli,21,ItalianOpen2007,HalloweenOpen2010,1254
Pietro Gasparetto,21,MilanSummerOpen2016,RoadtoICMonterotondo2019,1133
Stefano Bevacqua,20,MantuaOpen2009,LegnanoOpen2013,1505
Anna Battistini,20,TheMostSerene2016,RoadtoICMonterotondo2019,1106
Gianluca Placenti,20,ItalianChampionship2012,RomeSummerOpen2016,1324
Giovanni Contardi,19,MantuaOpen2009,SwedishCubeDays2013,1526
Paolo Moriello,19,MantuaOpen2009,WC2011,755
Nicola Barbaro,19,RomaWinterOpen2011,ongoing,3850
Simone Santarsiero,19,ItalianOpen2009,MilanWinterOpen2013,1428
Matteo Provasi,19,ObeiObeiOpen2009,MilanBlindDay2012,1034
Ciro Vignotto,19,PoliMiItalianOpen2014,ongoing,2752
Paolo Mazzei,19,MilanBLDDay2010,MonticelloConteOtto2013,1091
Riccardo Fasan,18,FioranoOpen2017,ongoing,1925
Marco Manno,18,ItalianChampionship2015,ongoing,2493
Marco Edoardo Cittar,18,PoliMiOpen2015,ongoing,2584
Lorenzo Gentili,17,AlmostRomeOpen2017,ongoing,1918
Tommaso Zoffoli,17,ItalianOpen2008,Euro2012,1574
Federico Rinalduzzi,17,MonterotondoOpen2015,FMC2019,1337
Filippo Brancaleoni,17,RomaOpen2010,MilanBlindDay2011,483
Francesco Iezzi,16,RomeSlamOpen2016,BolognaSummerOpen2021,1966
Claudio Moriello,16,MantuaOpen2009,ongoing,4663
Davide Arnesano,16,ItalianChampionship2018,ongoing,1332
Edoardo Disarò,16,BigCubingItaly2013,FMCEurope2016,889
Giulia Accorsi,16,MantuaSpring2011,LegnanoOpen2013,966
Lorenzo Pillon,15,VeronaOpen2017,ongoing,1736
Giovanni Tessari,15,MantuaOpen2009,MantuaWinter2011,819
Valerio Locatelli,15,RovigoOpen2018,SPQROpen2022,1553
Gabriele Cappelletti,15,TiburtinaeOpen2012,TheMostSerene2016,1595
Lorenzo Mauro,15,PlatformOpen2014,FMCEurope2017,867
Giuseppe Pappalardo,15,EtnaOpen2016,ongoing,2016
Marco Iamonte,15,ItalianOpen2008,ongoing,5118
Daniel Sartori,14,BolognaNxNSpring2019,ongoing,1177
Edoardo Annesi,14,RomaOpen2011,MonterotondoOpen2015,1624
Julian Galliano,14,TriesteOpen2013,SKCSpring2018,2044
Luigi Manzo,14,MantuaOpen2009,ongoing,4663
Leonardo Marchizza,14,ItalianChampionship2014,TheMostSerene2016,840
Alessandro Fava,14,MilanWinterOpen2015,GessateOpen2017,1021
Francesco Odorizzi,14,ItalianChampionship2017,ItalianChampionship2019,685
Andrea Marconato,14,AlmostRomeOpen2017,ongoing,1918
Marco Lapadula,13,GenevaOpen2008,MilanBlindDay2011,1030
Andrea Lo Sardo,13,CubeNRoll2010,ItalianChampionship2013,1008
Leonardo Savi,13,EretumOpen2014,ongoing,2793
Cesare Paulin,13,MilanBLDDay2010,MilanBlindDay2013,1231
Federico Ortu,13,MilanBlindDay2012,ItalianOpen2015,1155
Giorgio Zonta,13,PoliMiItalianOpen2014,TurinCubeDay2017,813
Federico Borgogni,13,PoliMiItalianOpen2014,FMCEurope2019,1561
Sebastiano Tronto,13,VeenendaalOpen2018,FMCGermany2019,539
Massimiliano Iovane,13,MantuaOpen2010,ItalianOpen2013,1141
Emanuele Lamon,13,VeronaOpen2017,ongoing,1736
Nicolò Simone,13,UKOpen2008,HalloweenOpen2010,722
Gabriele Gambino,13,CubeNRoll2010,ongoing,4404
Marianna Bondi,13,ItalianOpen2017,BolognaBackfromHolidays2021,1421
Antonio Barba,13,MilanCubeDays2015,ongoing,2472
Damiano Di Paola,13,ItalianChampionship2016,PesaroOpen2022,1967
Federico Basanese,13,LegnanoOpen2013,ongoing,3158
Giovanni Marconi Nalim,13,DuevilleOpen2015,ItalianChampionship2019,1713
Sofia Malatesta,13,RomaWinterOpen2011,ongoing,3850
Nicola Giordani,12,MantuaOpen2009,ItalianOpen2012,994
Pasquale Lombardozzi,12,Germany2008,DusseldorfOpen2011,1022
Liam Edward Slater,12,BugellaOpen2015,ongoing,2430
Edoardo Pelini,12,FioranoOpen2017,ongoing,1925
Lorenzo Nicotra,12,MonticelloOpen2015,RoadtoICBologna2019,1624
Christian Pizzasegola,12,Johannesburg2014,ongoing,2772
Pietro Furbatto,12,PoliMiOpen2016,FMCItaly2021,1834
Simone Canova,12,ItalianChampionship2018,FMCItaly2021,1135
Miriana Cecchi,12,Cubelonia2016,EretumOpen2017,504
Tommaso Raposio,12,MilanWinterOpen2014,MilanSlamOpen2016,791
Alessandro Manopulo,12,N8W8Summer2013,NoParityOpen2014,315
Paolo Bartolucci,12,RomaOpen2010,ongoing,4431
Andrea Santambrogio,11,HalloweenOpen2010,MilanBlindDay2013,1042
Emanuele Marchesi,11,PoliMiOpen2016,ongoing,2031
Raffaele Bonifazi,11,AlmostRomeOpen2017,ongoing,1918
Samuele Cancemi,11,SmallCubingitaly2016,BolognaNxNSpring2019,1084
Arcangelo Lobianco,11,RomeSlamOpen2016,ongoing,2296
Damiano Quagliotto,11,CubeNRoll2010,ongoing,4404
Giovanni Bezzetto,11,FioranoOpen2017,ongoing,1925
Davide Macri,11,ItalianOpen2009,SchioOpen2012,1142
Andrea Moscatello,11,MantuaSpring2011,ongoing,4124
Alessandro Simone,11,ItalianOpen2012,NoParityOpen2014,742
Matteo Mazzini,11,MilanBlindDay2012,ongoing,3550
Andrea Egidio Monti,11,HalloweenOpen2010,TuscanyOpen2017,2582
Luca Spagnolo,10,BugellaOpen2014,RoadtoICMonterotondo2019,1827
Federico Baravalle,10,ItalianChampionship2016,ongoing,2087
Andrew Verducci,10,MilanCubeOpen2011,BigCubingItaly2013,945
Riccardo Munaro,10,ItalianChampionship2014,ongoing,2969
Davide Merli,10,BigCubingItalyOpen2011,PoliMiItalianOpen2014,1281
Alessandro Ricci,10,SanMarinoNationals2018,ongoing,1513
Letian Mattia Chang,10,MediolanumOpen2010,BigCubingItaly2013,1119
Nino Monserrato,10,ObeiObeiOpen2009,PoliMiItalianOpen2014,1832
Israel Springer,10,RoMinxOpen2016,ongoing,2072
Valerio Sannito,10,GessateOpen2017,TuscanyOpen2018,413
Nicola Forlai,10,Roma3AlCubo2018,ongoing,1478
Kevin Montano,10,RomaWinterOpen2011,ongoing,3850
Marco Signorini,10,SchioOpen2012,ongoing,3738
Angelo Piccolella,10,SinuessaOpen2012,ongoing,3514
Mattia Galentino,10,EretumOpen2017,ongoing,1856
Simone Ciancotti,9,Euro2010,ItalianChampionship2012,799
Piermarco Giobbi,9,ItalianOpen2009,ongoing,4880
Lorenzo Guarini,9,MilanBlindDay2013,ongoing,3214
Filippo Taddei,9,MilanSlamOpen2016,MantuaWinter2018,714
Giovanni Centili,9,Roma3AlCubo2018,ongoing,1478
Martin Cufar,9,MilanSlamOpen2016,ongoing,2296
Giacomo Amati,9,RomagnaOpen2019,ongoing,1114
Valerio Colapinto,9,RoadtoICMonterotondo2019,ongoing,1023
Andrea Natale,9,ItalianOpen2011,MonterotondoOpen2015,1477
Leonardo Randacio,9,ItalianOpen2018,PesaroOpen2022,1267
Lorenzo Aureli,9,LegnanoOpen2014,ongoing,2955
Mattia Francardi,9,CubeNRoll2010,ongoing,4404
Marco Antinori,9,FlorenceOpen2013,ItalianChampionship2016,1112
Davide Celano,9,BigCubingItaly2016,ongoing,2234
Alessio Mortillaro,9,RoadtoICMonterotondo2019,ongoing,1023
Chiara Placenti,9,ItalianOpen2013,ongoing,3130
Attilio Buttiglione,9,RomeSummerOpen2016,ongoing,2163
Lorenzo Bellocci,9,PoliMiOpen2016,ongoing,2031
Davide Azzini,9,MilanWinterOpen2013,LegnanoOpen2014,497
Valerio Maggi,9,ItalianOpen2018,ongoing,1387
Mattia Rigo,9,RoadtoICMilano2019,ongoing,981
Luca Bonisoli,9,VenetoOpen2011,ongoing,4005
Luca Quaglia,9,CannesOpen2013,ongoing,3403
Rafaela Estrada,9,PoliMiOpen2015,VeronaOpen2017,848
Marco Levrero,9,MantuaOpen2009,MilanBlindDay2011,715
Andrea Princic,9,MonterotondoOpen2015,ItalianOpen2017,721
Enrico Tenuti,9,VeronaOpen2017,ongoing,1736
Jacopo Melchiorri,8,ItalianChampionship2010,ongoing,4353
Davide Rabito,8,ItalianChampionship2013,ongoing,3396
Marco Mazzuoccolo,8,CubeNRoll2010,ongoing,4404
Michele Scattola,8,PoliMiOpen2015,ongoing,2584
Gianluca Veschi,8,ItalianChampionship2010,ongoing,4353
Alessandro Casarin,8,ItalianChampionship2017,BolognaBackfromHolidays2021,1351
Alberto Batti,8,MilanSummerOpen2016,PoliMiMentalBreakdown2019,958
Riccardo Pilan,8,BigCubingItaly2013,ongoing,3186
Andrea Muzii,8,ItalianOpen2017,ongoing,1723
Leonardo Brandolini,8,BolognaNxNSpring2019,ongoing,1177
Luciano Spada,8,ItalianOpen2013,ongoing,3130
Riccardo Cimma,8,MilanWinterOpen2014,ongoing,3087
Davide Cioni,8,ItalianChampionship2018,ongoing,1332
Anonymous,8,EindhovenOpen2012,ongoing,3571
Andrea Di Giosaffatte,8,ObeiObeiOpen2009,ongoing,4584
Federico Viola,8,TrentinOpen2011,FMCEurope2015,1232
Giacomo Daniele Corò,8,ItalianChampionship2019,ongoing,968
Pietro Peri,8,BigCubingItaly2018,ongoing,1289
Alessandro Calzolaro,8,MantuaOpen2009,ongoing,4663
Giacomo Mambrini,8,FioranoOpen2017,MonzaEuroWarmup2018,469
Eugenio Spadafora,8,MonterotondoOpen2015,ongoing,2444
Omar El Neanai,8,MilanCubeDays2015,ongoing,2472
Riccardo Silvestri,8,ItalianChampionship2012,SmallCubingitaly2016,1226
Paolo Marino,8,TicinoOpenSaturday2021,ongoing,232
Gabriele Zanni,8,AlmostRomeOpen2017,ItalianChampionship2021,1679
Fabio Piumatti,8,BolognaBackfromHolidays2021,ongoing,302
Gabriele Bacchieri,8,BigCubingItaly2014,ItalianChampionship2016,861
Fabio Rabito,7,ItalianChampionship2013,TurinCubeDay2017,1457
Gabriele Longo,7,EtnaOpen2016,ongoing,2016
Filippo Galasso,7,MantuaSpring2011,MilanBlindDay2013,910
Elisa Gasperotti,7,BolognaBackfromHolidays2021,ongoing,302
Fabian Tomasovic,7,BolognaWinterMadness2020,ongoing,862
Fabio Calamati,7,ItalianChampionship2018,ongoing,1332
Simone Cilia,7,EtnaOpen2018,ongoing,1625
Samuele Zucca,7,PoliMiOpen2016,TuscanyOpen2018,735
Nicola Mazza,7,MantuaWinter2019,ongoing,1226
Luca D'Urbano,7,ItalianChampionship2017,ongoing,1653
Andrea Beretta,7,MilanBlindDay2012,ongoing,3550
Paolo Rosson,7,ItalianOpen2008,MonticelloConteOtto2013,1764
Costantino Corsi,7,SmallCubingItaly2014,ongoing,3031
Riccardo Brancaleoni,7,MantuaOpen2009,TrentinOpen2011,784
Giacomo Vigani,7,ItalianOpen2008,ItalianChampionship2017,3465
Andrea Ciolfi,7,ItalianChampionship2016,ongoing,2087
Pietro Mazza,7,MantuaWinter2019,ongoing,1226
Yuri Donati,7,EtnaOpen2019,ongoing,1149
Davide Pierrat,7,FioranoOpen2017,ongoing,1925
Sofia Saletnich,7,BolognaSummerOpen2021,ongoing,330
Silvia Boscolo Bariga,7,EretumOpen2017,ongoing,1856
Martin Benaduce,7,ItalianOpen2015,ongoing,2395
Matteo Miodini,7,SanMarinoNationals2019,ongoing,1142
Filippo Zanetti,7,MilanSlamOpen2016,ongoing,2296
Christian Kaserer,7,MantuaOpen2009,ongoing,4663
Massimo Russo,7,MadridOpen2009,ongoing,4734
Alessia Novizio,7,BolognaBackfromHolidays2021,ongoing,302
Danilo Caimano,7,ItalianOpen2009,ongoing,4880
Isabella Bosia,7,MontpellierOpen2010,UKC2018,3142
Alessandro Zangolini,7,BolognaBackfromHolidays2021,ongoing,302
Antonio Marchizza,7,PoliMiItalianOpen2014,RomeSummerOpen2016,589
Andrea Pappalardo,7,SicilyOpen2018,ongoing,1359
Michele Chiaravalloti,7,AlmostRomeOpen2017,ongoing,1918
Valerio Raimondi Vallesi,7,RoadtoICMonterotondo2019,ongoing,1023
Eleonora Giangrandi,7,RoadtoICMontecatini2019,ongoing,995
Mattia Sorrentino,7,ItalianOpen2017,ongoing,1723
Federico Cazzaniga,7,MediolanumOpen2010,ongoing,4305
Leonardo Maver,7,VeronaOpen2017,ongoing,1736
Giorgio Giannantoni,7,EretumOpen2014,ongoing,2793
Alexandros Fokianos,7,ItalianOpen2017,PoliMiMentalBreakdown2019,525
Mattia Perego,7,MonzaEuroWarmup2018,ongoing,1456
Angelo Pio Lo Giudice,6,EtnaOpen2016,ongoing,2016
Francesco Galetta,6,RomeSlamOpen2016,ongoing,2296
Caterina Pali,6,SmallCubingitaly2016,ongoing,2261
Alessandro Stella,6,LegnanoOpen2012,BugellaOpen2014,860
Marco Albertazzi,6,MonticelloConteOtto2014,ongoing,3011
Marco Larotonda,6,LegnanoOpen2012,ongoing,3710
Leonardo Zara,6,FioranoOpen2017,ongoing,1925
Riccardo Galanti,6,BolognaBackfromHolidays2021,ongoing,302
Lorenzo Magnarin,6,Cubelonia2017,ongoing,1997
Nicolas Baldassarri,6,ItalianChampionship2016,ItalianChampionship2017,434
Giovanni Italiano,6,ItalianChampionship2021,ongoing,239
Gianluca Colizzi,6,PlatformOpen2014,ongoing,2779
Dario Bianchini,6,MilanCubeDay2017,BolognaBackfromHolidays2021,1609
Gabriele De Matteis,6,PlatformOpen2014,ongoing,2779
Elias Walter Ebner,6,TuscanyOpen2018,ongoing,1296
Riccardo Voci,6,ItalianOpen2017,ongoing,1723
Marco Guarasci,6,BolognaWinterMadness2020,ongoing,862
Maurizio Elvis Claudio Masseni,6,MantuaSummer2017,ongoing,1814
Andrea Tonoli,6,PoliMiOpen2015,ongoing,2584
Roland Gandini,6,MilanBlindDay2013,ongoing,3214
Alessandro Calzoni,6,BolognaSummerOpen2021,ongoing,330
Aris Patronis,6,ItalianChampionship2017,ongoing,1653
Daniele Buccolieri,6,PlatformOpen2014,ongoing,2779
Simone Pellegrini,6,ItalianChampionship2018,ongoing,1332
Michele Garuti,6,FlorenceFantastic2013,ongoing,3332
Claudia Zago,6,EtnaOpen2018,ongoing,1625
Giulia Casella,6,PoliMiItalianOpen2014,ongoing,2752
Giovanni Maistrello,6,PesaroOpen2022,ongoing,120
Daniele Gennara,6,BolognaWinterMadness2020,ongoing,862
Luigi Lunardon,6,ItalianOpen2009,ongoing,4880
Mirko Calzolaro,6,MantuaOpen2009,ongoing,4663
Stefano Zanini,6,MantuaSpring2011,BPCubeDay2014,1120
Paolo Girotti,6,FlorenceOpen2010,ongoing,4285
Raffaele Tolomelli,6,SanMarinoNationals2018,ongoing,1513
Lorenzo Giovanni Cuscani,6,EtnaOpen2018,ongoing,1625
Edoardo Brown,6,ElsassOpen2019,ongoing,1135
Piernicola Scalzi,6,SicilyOpen2018,FMCItaly2021,1162
Lorenzo Gravina,6,MantuaOpen2009,MantuaOpen2010,392
Matteo Cucinotta,6,MontpellierOpen2018,BarbyCube2019,392
Flavio Rimi,6,Roma3AlCubo2018,FMCItaly2021,1281
Nicholas Iperti,6,PoliMiOp3n2018,ongoing,1492
Nicolò Dilettuso,5,ItalianChampionship2014,ongoing,2969
Giosuè Soardo,5,ItalianOpen2009,ongoing,4880
Josuè Pangrazzi,5,BolognaWinterMadness2020,ongoing,862
Mirko Morati,5,ItalianChampionship2013,ongoing,3396
Federico De Paoli,5,ItalianChampionship2019,ongoing,968
Daniil Badalato,5,MilanSlamOpen2016,ongoing,2296
Mirko Colangeli,5,RomaOpen2011,ongoing,4068
Pietro Marchica,5,BolognaBackfromHolidays2021,ongoing,302
Giuseppe Di Febbraro,5,ItalianOpen2017,ongoing,1723
Edoardo Porena,5,RomeSummerOpen2016,ongoing,2163
Tommaso Lunghi,5,MilanSlamOpen2016,ongoing,2296
Leonardo Oppi,5,TuscanyOpen2018,ongoing,1296
Jacopo Antonio Boffa,5,Roma3AlCubo2018,ongoing,1478
Alessio Pandin,5,ItalianChampionship2021,ongoing,239
Alberto Monterisi,5,RomagnaOpen2019,ongoing,1114
Valentina Violante,5,ItalianOpen2013,RomeSlamOpen2016,834
Riccardo Pironti,5,SmallCubingitaly2016,ongoing,2261
Pietro Vigani,5,ItalianOpen2009,Roma3AlCubo2018,3402
Alessandro Sebastiani,5,ItalianOpen2013,ongoing,3130
Marcello Fantuzzi,5,ItalianOpen2013,ongoing,3130
Francesco Carannante,5,LOLSouthItalianOpen2010,ongoing,4199
Carlo Galimberti,5,BolognaBackfromHolidays2021,ongoing,302
Francesco Macaluso,5,ItalianOpen2013,ongoing,3130
Alessandro Scanu,5,ItalianOpen2009,ongoing,4880
Andrea Altieri,5,RoadtoICMontecatini2019,ongoing,995
Gabriele Christian Giorgi,5,EretumOpen2018,ongoing,1569
Marco Giordano,5,PaladiamanteOpen2022,ongoing,155
Vincenzo Millemaci,5,ItalianOpen2009,ongoing,4880
Rocco Barberis Canonico,5,BigCubingItaly2016,WC2017,425
Luca Terrone,5,BolognaBackfromHolidays2021,ongoing,302
Lorenzo Corradin,5,MantuaOpen2009,ongoing,4663
Davide Adamo,5,SicilyOpen2018,ongoing,1359
Filippo Mascheretti,5,ItalianChampionship2018,ongoing,1332
Andrea Caligaris,5,RoadtoICBologna2019,ongoing,1009
Carlotta Russo,5,BeneventumOpen2012,Euro2014,740
Cristiano Alba,5,Euro2006,SchioOpen2012,2017
Federico Masilunas,5,MantuaOpen2009,ongoing,4663
Alessandro Pe,5,MonzaEuroWarmup2018,ongoing,1456
Stefano Dalla Longa,5,MilanCubeDays2015,ongoing,2472
Federico Mazzetto,5,MantuaOpen2009,ItalianChampionship2016,2576
Stefano Dezuanni,5,TuscanyOpen2018,ongoing,1296
Matteo Valentini,5,WC2011,ItalianChampionship2014,939
Michele Zanirato,5,VeronaOpen2017,ongoing,1736
Andrea Farolfi,5,PoliMiOpen2015,ongoing,2584
Simone Traverso,5,BolognaBackfromHolidays2021,ongoing,302
Marco Verdicchio,5,ObeiObeiOpen2009,ongoing,4584
Federico Sannicolò,5,ObeiObeiOpen2009,ongoing,4584
Lorenzo Bianco,5,TopkekOpen2015,ItalianChampionship2016,559
Davide Camilleri,5,CalabrianOpen2019,ongoing,1212
Nicola Jian Wang,5,PoliMiOpen2015,ongoing,2584
Fabio Dragone,5,ItalianChampionship2017,ongoing,1653
Mirko Tsakarissianos,5,TuscanyOpen2017,ongoing,1674
Diego Catà,5,ItalianChampionship2018,ongoing,1332
Riccardo Fiore,5,Euro2018,ongoing,1438
Davide Ferraro,5,MilanBlindDay2012,PoliMiItalianOpen2014,798
Flavia Festa,5,ItalianChampionship2021,ongoing,239
Enrico Tomatis,5,TurinCubeDay2017,ongoing,1939
Leonardo Guastini,4,BolognaSummerOpen2021,ongoing,330
Michele Russo,4,SouthItalianOpen2009,ongoing,4562
Giuseppe Sapia,4,FlorenceOpen2010,FlorenceFantastic2013,953
Lorenzo Gaviani,4,VeronaOpen2017,ongoing,1736
Carlo Simone,4,MantuaOpen2010,BPCubeDay2014,1267
Jacopo Mucci,4,RomaOpen2010,ongoing,4431
Stefano Fava,4,TuscanyOpen2018,ongoing,1296
Pietro Michelangeli,4,PoliMiOpen2015,ongoing,2584
Lapo Staccioli,4,ObeiObeiOpen2009,ongoing,4584
Leonardo Cerizzi,4,PesaroOpen2022,ongoing,120
Gabriele Catarsi,4,SanMarinoOpen2017,ongoing,1877
Andrea Pavese,4,SmallCubingItaly2014,ongoing,3031
Gabriele Marchitelli,4,FioranoOpen2018,ongoing,1554
Pietro Sala,4,BigCubingItaly2014,ongoing,2948
Simone Cutrona,4,ItalianOpen2017,ongoing,1723
Nathan Pintus,4,ItalianChampionship2021,ongoing,239
Andrea Magrin,4,MonticelloConteOtto2014,ongoing,3011
Milo De Nadai,4,ItalianChampionship2015,ongoing,2493
Filippo Di Biase,4,MantuaOpen2009,ongoing,4663
Albiero Beniamino,4,CubeNRoll2010,ongoing,4404
Andrea Marucci,4,ItalianOpen2017,ongoing,1723
Nani De Marchi,4,BPCubeDay2014,ongoing,3004
Michele Bastione,4,MilanSaturday2018,ongoing,1534
Pietro Domenico Trevisan,4,MonticelloConteOtto2014,ongoing,3011
Andrea Gaggioli,4,MantuaOpen2009,ongoing,4663
Dario Doninger,4,PoliMiOp3n2018,ongoing,1492
Lorenzo Tendola,4,BolognaSummerOpen2021,ongoing,330
Filippo Vigani,4,FlorenceOpen2010,ongoing,4285
Fabio Chiarini,4,MilanCubeDays2015,VeronaOpen2017,736
Manfredi Italiano,4,ItalianChampionship2021,ongoing,239
Lucia Perezzani,4,ItalianChampionship2019,ongoing,968
Eduard Lucaci,4,TuscanyOpen2018,ongoing,1296
Claudio Perrone,4,CalabrianOpen2019,ongoing,1212
Vincenzo Sampietro,4,PoliMiOp3n2018,ongoing,1492
Alessio Colombo,4,BugellaOpen2014,ongoing,2850
Alessandro Magenis,4,BolognaSummerOpen2021,ongoing,330
Luca Marseglia,4,SalernoWinterOpen2013,ongoing,3108
Stefano Zorzi,4,VenetoOpen2011,MonticelloConteOtto2014,994
Walter Antonio Monti,4,ItalianOpen2009,MilanBLDDay2010,435
Edoardo Landa,4,BolognaNxNSpring2019,ongoing,1177
Alberto Colautti,4,ItalianChampionship2018,ongoing,1332
Alberto Cimmino,4,ItalianOpen2018,ongoing,1387
Alessandro Calanna,4,ItalianChampionship2017,ongoing,1653
Mattia Riva,4,MantuaWinter2018,ongoing,1582
Simone Marcellini,4,SalentoCubingOpen2020,ongoing,904
Carlo Fagioli,4,RoadtoICMontecatini2019,ongoing,995
Flavio Conti,4,Roma3AlCubo2018,ongoing,1478
Ivan Enrico,4,ItalianOpen2008,ongoing,5118
Lorenzo Guglielmi,4,TuscanyOpen2018,ongoing,1296
Giulio Chiminelli,4,ItalianOpen2007,VenetoOpen2011,1505
Riccardo Raciti,4,EtnaOpen2016,ongoing,2016
Giuseppe Pio La Castellana,4,EtnaOpen2016,ongoing,2016
Salvo Gulisano,4,EtnaOpen2016,ongoing,2016
Gianluca Alba,4,ItalianOpen2012,ongoing,3669
Alessandro Iraci,4,FMCEurope2017,TuscanyOpen2018,616
Michele Damiano,4,LegnanoOpen2012,ongoing,3710
Enrico Saggiorato,4,ItalianChampionship2018,FMCEurope2019,141
Giacomo Monco,4,SchioOpen2012,ongoing,3738
Gian Maria Gnecco,4,RoadtoICMontecatini2019,ongoing,995
Paolo Resta,4,ItalianChampionship2018,ongoing,1332
William Forestiere,4,EtnaOpen2018,ongoing,1625
Matteo Bonifazi,4,TurinWinterOpen2019,ongoing,1261
Matteo Parodi,4,BolognaBackfromHolidays2021,ongoing,302
Claudia Brighina,4,EtnaOpen2016,ongoing,2016
Daniele Moretti,4,ItalianChampionship2017,ongoing,1653
Alessandro Trenta,4,MilanBlindDay2012,ongoing,3550
Tiziano Arcifa Agatino,4,ItalianChampionship2017,ongoing,1653
Matteo Maggiali,4,BolognaBackfromHolidays2021,ongoing,302
Mattia Zago,4,BolognaWinterMadness2020,ongoing,862
Jordan Crippa,4,RoadtoICMilano2019,FMCItaly2021,784
Federico Scrinzi,4,ItalianChampionship2011,ongoing,4084
Diego Pirovano,4,MantuaWinter2019,ongoing,1226
Gabriele Lazzarotto,4,ItalianOpen2009,ongoing,4880
Ivan Micieli,4,SicilyOpen2018,ongoing,1359
Elena Berselli,4,ItalianChampionship2018,ongoing,1332
Matteo Bonotto,4,ItalianChampionship2017,ongoing,1653
Raphael Pasuto,4,BigCubingItaly2013,ongoing,3186
Tommaso Senatori,4,Roma3AlCubo2018,ongoing,1478
Diego Eustachio Farchione,4,ItalianOpen2013,ongoing,3130
Davide Corsi,4,RomaOpen2011,ongoing,4068
Gian Marco Ciaccia,4,SmallCubingitaly2016,ongoing,2261
Valerio Antonini,4,ItalianChampionship2018,ongoing,1332
Eros Gianaria,4,ItalianChampionship2013,ongoing,3396
Alessandro Dibitonto,3,EretumOpen2017,ongoing,1856
Maria Giovanna Martello,3,EtnaOpen2016,ongoing,2016
Luigi Garcea,3,ItalianOpen2018,ongoing,1387
Roberto Raciti,3,EtnaOpen2016,ongoing,2016
Lorenzo Sammartino,3,EtnaOpen2016,ongoing,2016
Leonardo Passafaro,3,SmallCubingitaly2016,AlmostRomeOpen2017,343
Giuseppe Manzo,3,ObeiObeiOpen2009,ongoing,4584
Matteo Pagano,3,MantuaOpen2009,ongoing,4663
Bruno Rosa,3,EretumOpen2017,MilanSaturday2018,322
Luca Nicolosi,3,EtnaOpen2016,ongoing,2016
Luca Rannisi,3,EtnaOpen2016,ongoing,2016
Alice Caligaris,3,RoadtoICBologna2019,PaladiamanteOpen2022,854
Nikolaij Tamborin,3,ItalianOpen2018,ongoing,1387
Mirko Celano,3,ItalianOpen2018,ongoing,1387
Francesco Nasce',3,PoliMiOp3n2018,BigCubingItaly2018,203
Andrea Lambertini,3,RoadtoICBologna2019,ongoing,1009
Ezio Marini,3,RoadtoICMilano2019,ongoing,981
Martino Giorgetti,3,ObeiObeiOpen2009,ongoing,4584
Corrado Verdino,3,EretumOpen2017,ongoing,1856
Sofia Masini,3,RoadtoICMilano2019,PesaroOpen2022,861
Falco Marchi,3,BolognaBackfromHolidays2021,ongoing,302
Pietro Bianco,3,PoliMiOpen2015,ongoing,2584
Hashmi Antonio Di Giacomo,3,BolognaBackfromHolidays2021,ongoing,302
Daniele Panna,3,ApuliaOpen2016,ongoing,2275
Daniele Lops,3,MonterotondoOpen2015,RomeSummerOpen2016,281
Valentina Panzuto,3,CalisayOpen2017,ongoing,1961
Matteo Barone,3,BolognaBackfromHolidays2021,ongoing,302
Dario Angelo Narbone,3,BolognaSummerOpen2021,ongoing,330
Simone Garzarella,3,Roma3AlCubo2018,ongoing,1478
Michele Spagnolo,3,RomeSlamOpen2016,ongoing,2296
Alfredo Glioti,3,MantuaOpen2009,ongoing,4663
Filippo Mancini,3,ItalianChampionship2018,ongoing,1332
Andrea Regazzetti,3,PoliMiOp3n2018,ongoing,1492
Alessandro Mazzetto,3,MantuaOpen2009,ongoing,4663
Alessandro Galloppo,3,ItalianChampionship2018,ongoing,1332
Tommaso Martini,3,RomeSlamOpen2016,ongoing,2296
Riccardo Carletti,3,ItalianOpen2009,ongoing,4880
Claudio Romano,3,RoadtoICBologna2019,ongoing,1009
Gabriele Mansi,3,ItalianChampionship2018,ongoing,1332
